"Timestamp","Which color do you associate with Track 1","Which color do you associate with Track 2?","Which color do you associate with Track 3?","Which color do you associate with Track 4?","Which color do you associate with Track 5?","Which color do you associate with Track 6?","Which color do you associate with Track 7?","Which color do you associate with Track 8?","Which color do you associate with Track 9?","Which color do you associate with Track 10?","How old are you","What is your gender"
"2022/05/20 6:24:29 PM GMT+2","Green","Yellow","Black","Purple","White","Black","Purple","Blue","Red","Purple","15-25","Female"
"2022/05/21 1:50:04 AM GMT+2","Green","Yellow","Blue","Red","Blue","Black","White","Black","Green","Blue","15-25","Male"
"2022/05/21 11:39:55 PM GMT+2","Yellow","Black","Blue","White","Green","Black","Red","Green","Black","Blue","15-25","Other"
"2022/05/23 11:36:52 AM GMT+2","Yellow","White","Purple","Pink","Green","Black","Purple","Green","White","Red","26-35","Male"
"2022/05/28 7:30:45 PM GMT+2","Green","White","Yellow","White","White","Blue","Purple","Red","Pink","Purple","15-25","Female"
"2022/05/30 12:59:49 PM GMT+2","Yellow","Black","Black","Green","Blue","White","Black","Purple","Black","Red","15-25","Female"
"2022/05/30 1:07:59 PM GMT+2","Yellow","Blue","White","Purple","Pink","Black","White","Yellow","Yellow","Red","15-25","Male"
"2022/05/30 1:19:35 PM GMT+2","Purple","Yellow","Red","Blue","Green","Blue","Purple","Red","Yellow","Blue","15-25","Female"
"2022/05/30 6:48:07 PM GMT+2","Yellow","Pink","White","Red","Purple","Red","Black","Red","Blue","Purple","15-25","Female"
"2022/06/13 10:58:22 PM GMT+2","Purple","Blue","Yellow","Green","Purple","White","Pink","Black","Red","Blue","15-25","Male"
"2022/06/30 6:17:43 PM GMT+2","Purple","White","Red","Green","Pink","White","Black","Yellow","Yellow","Purple","36-45","Male"
