name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_g minor,key_g# minor,time signature_2/4,time signature_3/4,time signature_3/8,time signature_4/4,time signature_5/4
WHITE.MID,0.7653300073207719,28,88,60,131,67,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Room-3.mid,0.7977276308347241,35,86,51,110,106,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Room-1.mid,0.828304677702137,23,91,68,104,84,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
White-Dove.mid,0.9142902450290358,28,89,61,68,75,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Christmas.mid,0.7242005604411722,31,97,66,143,95,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Christmas-6.mid,0.8698209767378852,31,102,71,55,49,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Christmas-2.mid,0.8937226684177407,31,88,57,89,96,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Christmas-3.mid,0.9517667320092608,28,100,72,95,79,White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Christmas-5.mid,0.8656125429102465,30,100,70,90,82,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
White-Christmas-4.mid,0.8526008774452088,24,96,72,115,90,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
