name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,key_g# minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/4,time signature_4/8
BLACK.Wonderful life.mid,0.8639812883813144,28,91,63,108,111,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
black_velvet.mid,0.9013118870880353,26,77,51,94,87,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
BLACK_OR.MID,0.6902841615578895,23,83,60,116,99,Black,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
black_night.mid,0.8292456520313508,23,93,70,135,109,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
black_magic_woman.mid,0.8265842334227661,26,86,60,118,92,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
black_is_black2.mid,0.7807841870738583,33,81,48,120,99,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
black_is_black_los_bravos.mid,0.7758763970257431,33,81,48,128,99,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black_Identity_-_Blckr_Thn_Blck_(The_Prophet_vs._JDX_Remix)__Thomas_Gielstra_20071213141344.mid,0.658702378273458,45,61,16,148,99,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
black_lace.mid,0.6080755631897552,33,57,24,120,100,Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
black_is_black.mid,0.7804836030411371,33,79,46,128,98,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
