name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_G major,key_a minor,key_b minor,key_c minor,key_e minor,key_f# minor,key_g minor,key_g# minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/16,time signature_4/4
redtop.mid,0.729035788523732,21,90,69,135,115,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
redsky.mid,0.5798751842373754,36,98,62,73,67,Red,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RedSong.mid,0.8673110636976604,40,79,39,108,84,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
redsun2.mid,0.8232388412298238,33,79,46,120,80,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redscarf.mid,0.8164820633805899,39,88,49,90,109,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
RedSailsInTheSunset.mid,0.8658208036685067,36,74,38,112,70,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
redsails.mid,0.9292912036849781,33,86,53,120,75,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
redrubberball.mid,0.8413039839445395,31,90,59,86,101,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
REDROSES.MID,0.6636695269413665,28,74,46,120,106,Red,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RedRedWine.mid,0.7046754573963985,36,87,51,94,80,Red,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redrivervalley2.mid,0.874594469957941,38,77,39,120,105,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redrose2.mid,0.7668661686178508,45,90,45,78,104,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RedRiverValley.mid,0.8888293355071185,36,79,43,141,91,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
RedRedWine2.mid,0.9029997574619087,31,88,57,200,90,Red,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
REDROSE.MID,0.7668661686178508,45,90,45,78,104,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redredwine3.mid,0.6995658359080025,36,87,51,96,75,Red,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redredwine1.mid,0.6997823262733222,36,87,51,94,75,Red,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redpig.mid,0.5889732005158119,35,103,68,96,70,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
rednose.mid,0.8623920632400438,29,93,64,120,75,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
redlady2a.mid,0.4173727799278916,36,79,43,112,73,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
redknight.mid,0.6932504605305129,35,92,57,240,77,Red,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
redistherose2.mid,0.782625797634593,33,74,41,67,101,Red,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
redistherose.mid,0.782625797634593,33,74,41,67,101,Red,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
redisthe.mid,0.782625797634593,33,74,41,67,101,Red,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
redhotmama.mid,0.8506598813640552,29,81,52,182,68,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RedDwarf3.mid,0.8106888494407279,23,100,77,95,113,Red,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
RedDwarf2.mid,0.7566886461138207,21,86,65,140,118,Red,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
redhair.mid,0.8061431525813,31,83,52,240,93,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
REDDWARF.MID,0.8194487623718978,29,80,51,154,118,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
