,name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_3/8,time signature_4/4,key_g# minor,time signature_4/8
70,bluejazmid.mid,0.6452732149580525,31,74,43,86,94,Blue,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
71,bluejay.mid,0.6330546026720311,35,79,44,80,93,Blue,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
72,blueheaven.mid,0.4880798269149873,31,86,55,150,110,Blue,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
73,Bluehill.mid,0.8609897567230465,27,96,69,120,76,Blue,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
74,bluejam.mid,0.8445276625373516,29,89,60,85,98,Blue,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
75,BlueHawaii2.mid,0.8317104894736338,35,105,70,120,56,Blue,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
76,BlueHawaii.mid,0.8317104894736338,35,105,70,120,56,Blue,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
77,bluegrass22.mid,0.9555293969766824,30,88,58,121,94,Blue,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0
78,bluegrass2.mid,0.8299584449139779,29,86,57,120,96,Blue,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0
79,bluegrass1.mid,0.778335235386296,33,81,48,242,109,Blue,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
80,blueflag3.mid,0.7497336129355258,36,101,65,156,99,Blue,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0
81,blueeyesblue.mid,0.9135725775509556,26,88,62,134,72,Blue,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
82,BlueEyes.mid,0.8100088239103613,36,93,57,70,79,Blue,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
83,blueflag.mid,0.7235512372650378,36,101,65,156,99,Blue,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0
84,blueeye.mid,0.9594607107324366,35,81,46,110,89,Blue,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
85,BlueEyes2.mid,0.8111379743505044,36,93,57,70,79,Blue,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
86,bluedreamer.mid,0.9023220426571,29,84,55,80,71,Blue,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
87,bluedanube3.mid,0.8463238918610851,27,103,76,100,69,Blue,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
88,bluedanube2.mid,0.944884016423854,40,93,53,183,125,Blue,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0
